処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449318,2026/06/29,FJALLRAVEN POPUP NARITA,23223452X,FJALLRAVEN,23223,HighCoastHipPack,452,Lavender Mist,X,1,"6,500",0,"6,500","6,500",0,"6,500","6,500",カード,,外国女性,III,島田,0,
449319,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23223221X,FJALLRAVEN,23223,High Coast Hip Pack,221,Clay,X,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",電子マネー,,女性,V,鶴井,1,143719
449320,2026/06/29,FJALLRAVEN by 3NITY 大丸心斎橋,RP001,Other,RP001,修理代,,,X,1,"2,000",200,"2,200","2,000",200,"2,200",0,カード,,女性,IV,大山,1,137622
449321,2026/06/29,FJALLRAVEN by 3NITY TOKYO,TNT026121S,TENNEN,TNT026,天撚Tシャツ /メリノウール,121,Light Blue,S,1,"11,000",0,"11,000","11,000",0,"11,000","11,000",電子マネー,,外国女性,II,須藤,0,
449322,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,12600216113L,FJALLRAVEN,12600216,Walk With Nature T-shirt M,113,Chalk White,L,1,"5,525",553,"6,078","5,525",553,"6,078","6,500",カード,,男性,III,鶴井,1,134936
449322,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23780550X,FJALLRAVEN,23780,Kanken Card Wallet,550,Black,X,1,"5,000",500,"5,500","5,000",500,"5,500","6,000",カード,,男性,III,鶴井,1,134936
449322,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,男性,III,鶴井,1,134936
449323,2026/06/29,FJALLRAVEN POPUP NARITA,23510576X,FJALLRAVEN,23510,Kanken,576,Midnight Purple,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",カード,,外国女性,III,島田,0,
449323,2026/06/29,FJALLRAVEN POPUP NARITA,23565238X,FJALLRAVEN,23565,Kanken No.2,238,Hazel Brown,X,1,"20,000",0,"20,000","20,000",0,"20,000","20,000",カード,,外国女性,III,島田,0,
449325,2026/06/29,FJALLRAVEN by 3NITY TOKYO,23510620X,FJALLRAVEN,23510,Kanken,620,Green,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",カード,,外国女性,II,須藤,0,
